lot_number,announce_id,announce_name,customer,lot_id,lot_name,quantity,amount_tg,trade_method,status
"83603345-ЗЦП217311676-1 Автомобиль қозғалтқыштарына техникалық/сервистік қызмет көрсету бойынша қызметтерЗаказчик:КГП на праве хозяйственного ведения ""Ветеринарная станция района Биржан сал"" при управлении ветеринарии Акмолинской областиУслуги по техническому/сервисному обслуживанию двигателей автомобильныхИстория1200 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311676,17311676-1 Автомобиль қозғалтқыштарына техникалық/сервистік қызмет көрсету бойынша қызметтер,"КГП на праве хозяйственного ведения ""Ветеринарная станция района Биржан сал"" при управлении ветеринарии Акмолинской области",42551920,Услуги по техническому/сервисному обслуживанию двигателей автомобильных,1.0,200000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87049464-ОИ617311500-1 Приобретение материалов, необходимых для строительно-монтажных работ по проекту «Строительство стационарной насосной станции на магистральном канале Келинтобе в Жанакорганском районе Кызылординской области» «ПУ Ремводпроект»Заказчик:Кызылординский филиал РГП на ПХВ ""Казводхоз"" Министерства водных ресурсов и ирригации Республики КазахстанПолоса стальнаяИстория0.011430 174.61Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311500,"17311500-1 Приобретение материалов, необходимых для строительно-монтажных работ по проекту «Строительство стационарной насосной станции на магистральном канале Келинтобе в Жанакорганском районе Кызылординской области» «ПУ Ремводпроект»","Кызылординский филиал РГП на ПХВ ""Казводхоз"" Министерства водных ресурсов и ирригации Республики Казахстан",42551919,Полоса стальная,0.0114,30174.61,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"86769586-ЗЦП217311661-1 Услуги по проведению семинара (тренинга) по теме антикоррупционного комплаенс в формате оффлайн/Заказчик:КГКП ""Спортивный клуб для людей с ограниченными физическими возможностями"" управления физической культуры и спорта акимата ЖамбУслуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятийИстория150 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311661,17311661-1 Услуги по проведению семинара (тренинга) по теме антикоррупционного комплаенс в формате оффлайн/,"КГКП ""Спортивный клуб для людей с ограниченными физическими возможностями"" управления физической культуры и спорта акимата Жамб",42551918,Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий,1.0,50000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"82990215-ЗЦП117311651-1 О государственных закупках услуг семинара на тему: ""Стратегическое планирование""Заказчик:АО ""ГФСС""Услуги по обучению персонала/сотрудниковИстория11 125 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311651,"17311651-1 О государственных закупках услуг семинара на тему: ""Стратегическое планирование""","АО ""ГФСС""",42551917,Услуги по обучению персонала/сотрудников,1.0,1125000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87162021-ЗЦП117311523-1 Приобретение строительных материаловЗаказчик:ГУ ""Департамент по чрезвычайным ситуациям Восточно-Казахстанской области Министерства по чрезвычайным ситуациям Республики Казахстан""Обои на флизелиновой основеИстория40439 600.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311523,17311523-1 Приобретение строительных материалов,"ГУ ""Департамент по чрезвычайным ситуациям Восточно-Казахстанской области Министерства по чрезвычайным ситуациям Республики Казахстан""",42551916,Обои на флизелиновой основе,40.0,439600.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87168525-ЗЦП117311523-1 Приобретение строительных материаловЗаказчик:ГУ ""Департамент по чрезвычайным ситуациям Восточно-Казахстанской области Министерства по чрезвычайным ситуациям Республики Казахстан""Смесь битумнаяИстория20112 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311523,17311523-1 Приобретение строительных материалов,"ГУ ""Департамент по чрезвычайным ситуациям Восточно-Казахстанской области Министерства по чрезвычайным ситуациям Республики Казахстан""",42551915,Смесь битумная,20.0,112000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"81432877-ЗЦП217311666-1 Крыны для отопительной системы, крепежные элементыЗаказчик:Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской областиКоронкаИстория14 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311666,"17311666-1 Крыны для отопительной системы, крепежные элементы","Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской области",42551914,Коронка,1.0,4000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"81432883-ЗЦП217311666-1 Крыны для отопительной системы, крепежные элементыЗаказчик:Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской областиКран шаровой стальнойИстория11 500.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311666,"17311666-1 Крыны для отопительной системы, крепежные элементы","Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской области",42551913,Кран шаровой стальной,1.0,1500.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"81432875-ЗЦП217311666-1 Крыны для отопительной системы, крепежные элементыЗаказчик:Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской областиЭлемент крепежныйИстория720 300.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311666,"17311666-1 Крыны для отопительной системы, крепежные элементы","Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской области",42551912,Элемент крепежный,7.0,20300.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"81432882-ЗЦП217311666-1 Крыны для отопительной системы, крепежные элементыЗаказчик:Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской областиКран регулирующийИстория213 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311666,"17311666-1 Крыны для отопительной системы, крепежные элементы","Коммунальное государственное предприятие ""Мендыкаринская районная больница"" Управления здравоохранения акимата Костанайской области",42551911,Кран регулирующий,2.0,13000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87147448-ЗЦП217311557-1 Приобретение товаров для медицинских кабинетов (повторно)Заказчик:КГУ ""Специализированная база Управления мобилизационной подготовки, территориальной и гражданской обороны акимата Жамбылской области""ОфтальмоскопИстория1689 655.17Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311557,17311557-1 Приобретение товаров для медицинских кабинетов (повторно),"КГУ ""Специализированная база Управления мобилизационной подготовки, территориальной и гражданской обороны акимата Жамбылской области""",42551910,Офтальмоскоп,1.0,689655.17,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"87049545-ОИ617311500-1 Приобретение материалов, необходимых для строительно-монтажных работ по проекту «Строительство стационарной насосной станции на магистральном канале Келинтобе в Жанакорганском районе Кызылординской области» «ПУ Ремводпроект»Заказчик:Кызылординский филиал РГП на ПХВ ""Казводхоз"" Министерства водных ресурсов и ирригации Республики КазахстанПолоса стальнаяИстория0.135648 801.76Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311500,"17311500-1 Приобретение материалов, необходимых для строительно-монтажных работ по проекту «Строительство стационарной насосной станции на магистральном канале Келинтобе в Жанакорганском районе Кызылординской области» «ПУ Ремводпроект»","Кызылординский филиал РГП на ПХВ ""Казводхоз"" Министерства водных ресурсов и ирригации Республики Казахстан",42551909,Полоса стальная,0.1356,48801.76,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"87111489-ЗЦП117311668-1 Текущий ремонт кровлиЗаказчик:КГУ ""Многопрофильная школа-лицей № 3 имени А.С.Пушкина города Степногорск отдела образования по городу Степногорск управления образования Акмолинской области""Работы по текущему ремонту крыш, кровельных перекрытий и связанные с этим работыИстория15 653 362.07Запрос ценовых предложенийОпубликован",17311668,17311668-1 Текущий ремонт кровли,"КГУ ""Многопрофильная школа-лицей № 3 имени А.С.Пушкина города Степногорск отдела образования по городу Степногорск управления образования Акмолинской области""",42551908,"Работы по текущему ремонту крыш, кровельных перекрытий и связанные с этим работы",1.0,5653362.07,Запрос ценовых предложений,Опубликован
"84038450-ЗЦП817311621-1 канц товары для офисаЗаказчик:КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской областиСкоросшивательИстория1005 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311621,17311621-1 канц товары для офиса,"КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской области",42551907,Скоросшиватель,100.0,5000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"84038102-ЗЦП517311621-1 канц товары для офисаЗаказчик:КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской областиУдлинитель кабельныйИстория46 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311621,17311621-1 канц товары для офиса,"КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской области",42551906,Удлинитель кабельный,4.0,6000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"84065225-ЗЦП217311621-1 канц товары для офисаЗаказчик:КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской областиПерчаткиИстория105 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311621,17311621-1 канц товары для офиса,"КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской области",42551905,Перчатки,10.0,5000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"76532586-ЗЦП417311621-1 канц товары для офисаЗаказчик:КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской областиСредство чистящееИстория2012 000.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311621,17311621-1 канц товары для офиса,"КГУ ""Бейнеуский кабинет психолого - педагогический коррекции"" Управления образования Мангистауской области",42551904,Средство чистящее,20.0,12000.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"84113825-ЗЦП417311667-1 Услуга по запрвке картриджаЗаказчик:ГУ ""Отдел сельского хозяйства Каркаралинского района""Услуги по заправке картриджейИстория189 100.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311667,17311667-1 Услуга по запрвке картриджа,"ГУ ""Отдел сельского хозяйства Каркаралинского района""",42551903,Услуги по заправке картриджей,1.0,89100.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"85824341-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиЭлектрод сварочныйИстория610 500.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551902,Электрод сварочный,6.0,10500.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85826035-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиТруба для водоснабженияИстория10020 000.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551900,Труба для водоснабжения,100.0,20000.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85823813-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиШпатлевкаИстория1025 000.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551898,Шпатлевка,10.0,25000.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85824162-ОИ917311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиИнструмент специализированныйИстория210 762.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551896,Инструмент специализированный,2.0,10762.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85823572-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиКлейИстория1025 450.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551894,Клей,10.0,25450.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85831247-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиИнструмент специализированныйИстория155 680.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551891,Инструмент специализированный,1.0,55680.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85825939-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиТруба фановаяИстория10022 300.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551889,Труба фановая,100.0,22300.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85826104-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиТруба канализационнаяИстория810 888.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551886,Труба канализационная,8.0,10888.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85824059-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиСтамескаИстория513 700.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551884,Стамеска,5.0,13700.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85826883-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиКоленоИстория1515 375.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551882,Колено,15.0,15375.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85765699-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиВыключательИстория4027 200.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551880,Выключатель,40.0,27200.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85761191-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиМолотокИстория68 922.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551878,Молоток,6.0,8922.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85764284-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиСгонИстория305 010.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551876,Сгон,30.0,5010.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85765799-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиВыключательИстория4049 080.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551873,Выключатель,40.0,49080.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85763783-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиВентильИстория30130 020.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551871,Вентиль,30.0,130020.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85759015-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиЗеркалоИстория245 400.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551868,Зеркало,2.0,45400.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85760842-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиОтверткаИстория1528 365.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551866,Отвертка,15.0,28365.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85761546-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиГвоздь строительныйИстория3517 500.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551864,Гвоздь строительный,35.0,17500.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85760732-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиОтверткаИстория4020 000.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551862,Отвертка,40.0,20000.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85831162-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиГорелкаИстория28 900.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551860,Горелка,2.0,8900.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"87372622-ЗЦП117311664-1 Услуги полиграфические по изготовлению/печатанию полиграфической продукцииЗаказчик:ГКП на ПХВ ""Областной центр крови"" при управлении здравоохранения Акмолинской областиУслуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий)История1416 600.00Запрос ценовых предложенийОпубликован (прием ценовых предложений)",17311664,17311664-1 Услуги полиграфические по изготовлению/печатанию полиграфической продукции,"ГКП на ПХВ ""Областной центр крови"" при управлении здравоохранения Акмолинской области",42551858,"Услуги полиграфические по изготовлению/печатанию полиграфической продукции (кроме книг, фото, периодических изданий)",1.0,416600.0,Запрос ценовых предложений,Опубликован (прием ценовых предложений)
"85824312-ОИ917311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиВвод кабельныйИстория5675.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551857,Ввод кабельный,5.0,675.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"87050137-ОИ717311500-1 Приобретение материалов, необходимых для строительно-монтажных работ по проекту «Строительство стационарной насосной станции на магистральном канале Келинтобе в Жанакорганском районе Кызылординской области» «ПУ Ремводпроект»Заказчик:Кызылординский филиал РГП на ПХВ ""Казводхоз"" Министерства водных ресурсов и ирригации Республики КазахстанСталь арматурнаяИстория1.6282520 268.52Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311500,"17311500-1 Приобретение материалов, необходимых для строительно-монтажных работ по проекту «Строительство стационарной насосной станции на магистральном канале Келинтобе в Жанакорганском районе Кызылординской области» «ПУ Ремводпроект»","Кызылординский филиал РГП на ПХВ ""Казводхоз"" Министерства водных ресурсов и ирригации Республики Казахстан",42551855,Сталь арматурная,1.6282,520268.52,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85825747-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиТруба для водоснабженияИстория10013 700.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551854,Труба для водоснабжения,100.0,13700.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85829739-ОИ917311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиТройник поливинилиденфторидныйИстория1524 150.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551851,Тройник поливинилиденфторидный,15.0,24150.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
"85826808-ОИ817311660-1 Приобретение товаров для организацииЗаказчик:КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской областиТруба канализационнаяИстория5041 250.00Из одного источника по несостоявшимся закупкамОпубликован (прием заявок)",17311660,17311660-1 Приобретение товаров для организации,"КГУ ""Лицей-интернат ""Білім-инновация"" управления образования Туркестанской области",42551849,Труба канализационная,50.0,41250.0,Из одного источника по несостоявшимся закупкам,Опубликован (прием заявок)
